#{"t_start": 1745691977.823762, "env_id": "None"}
r,l,t
1.0,4,7.586245
-2.0,5,7.59063
1.0,4,7.596127
1.0,3,7.596654
1.0,4,7.598659
-2.0,5,7.604393
-2.0,5,7.609273
1.0,3,7.609273
1.0,3,7.612075
1.0,4,7.612075
-1.5,5,7.620118
1.0,3,7.624416
-2.0,5,7.626423
1.0,3,7.626423
-1.5,4,7.632043
1.0,3,7.634052
1.0,4,7.6358
-2.0,5,7.6358
1.0,4,7.644078
-2.0,5,7.648091
1.0,3,7.6501
1.0,4,7.653856
-2.0,5,7.657848
-1.5,4,7.659856
-1.5,3,7.663871
1.0,3,7.66588
-2.0,5,7.669635
1.0,3,7.671642
-2.0,5,7.675656
1.0,4,7.677664
1.0,4,7.68168
1.0,3,7.683429
1.0,3,7.685436
-1.5,4,7.68945
-1.5,5,7.693479
-2.0,5,7.697948
-1.5,4,7.701006
1.0,4,7.704013
-2.0,5,7.707633
-2.0,5,7.711735
1.0,3,7.714015
-1.5,4,7.717845
-1.5,3,7.719954
-1.5,3,7.721953
1.0,3,7.723069
-1.5,5,7.727982
1.0,3,7.72898
-1.5,5,7.73357
1.0,4,7.73357
1.0,3,7.740889
-1.5,4,7.743638
-2.0,5,7.746711
1.0,4,7.750684
-1.5,4,7.753684
-1.5,3,7.754693
1.0,3,7.757457
-1.5,5,7.761713
1.0,3,7.764079
1.0,4,7.764079
1.0,4,7.769859
1.0,3,7.771235
1.0,3,7.774544
1.0,4,7.778397
1.0,3,7.779712
1.0,3,7.782599
1.0,3,7.785189
-2.0,5,7.789914
1.0,4,7.795299
1.0,4,7.798661
1.0,4,7.800635
1.0,3,7.804277
-1.5,3,7.805705
1.0,3,7.809189
-1.5,3,7.811209
1.0,3,7.812548
1.0,4,7.817153
-2.0,5,7.82176
-1.5,4,7.825032
-1.5,4,7.827307
1.0,3,7.829534
1.0,3,7.832187
1.0,4,7.83567
1.0,4,7.839457
1.0,4,8.822572
-2.0,5,8.826577
1.0,3,8.830323
1.0,3,8.832326
1.0,4,8.834329
1.0,3,8.836331
1.0,3,8.838074
1.0,4,8.842079
1.0,4,8.844082
-1.5,5,8.848086
-1.5,4,8.850089
1.0,3,8.853836
1.0,3,8.855844
1.0,4,8.857851
-1.5,3,8.85986
1.0,4,8.863875
1.0,3,8.865882
1.0,4,8.86789
1.0,4,8.871534
1.0,4,8.875549
1.0,4,8.878021
-1.5,5,8.882015
1.0,3,8.883964
1.0,4,8.886652
1.0,3,8.889129
1.0,3,8.889129
1.0,3,8.893752
1.0,3,8.89676
1.0,3,8.89876
1.0,4,8.900762
1.0,3,8.902761
-1.5,5,8.90576
-2.0,5,8.906773
1.0,3,8.906773
1.0,3,8.906773
1.0,4,8.906773
1.0,3,8.906773
-1.5,4,8.906773
-2.0,5,8.906773
1.0,4,8.924855
-2.0,5,8.928301
1.0,4,8.928301
1.0,4,8.928301
1.0,3,8.928301
0.5,5,8.928301
1.0,3,8.938735
1.0,4,8.938735
1.0,3,8.942654
1.0,3,8.94539
1.0,3,8.948289
1.0,3,8.950297
1.0,4,8.954313
1.0,5,8.956321
1.0,3,8.959244
1.0,3,8.961252
1.0,3,8.96326
1.0,4,8.967275
1.0,3,8.969283
1.0,4,8.972299
1.0,3,8.974306
1.0,3,8.976313
1.0,3,8.978321
1.0,3,8.980329
1.0,3,8.982336
1.0,3,8.986308
1.0,3,8.988316
-1.5,5,8.992333
1.0,3,8.99434
1.0,3,8.998356
1.0,3,9.000365
1.0,3,9.002114
1.0,3,9.006131
1.0,3,9.008138
1.0,4,9.012154
-1.5,5,9.016171
1.0,3,9.01792
1.0,3,9.019927
1.0,3,9.021934
1.0,4,9.025949
1.0,4,9.029966
1.0,4,9.033722
1.0,3,9.036283
1.0,4,9.038291
1.0,5,9.042306
1.0,3,9.046321
-1.5,3,9.048494
1.0,4,9.052288
1.0,3,9.054295
1.0,3,9.056303
1.0,3,9.058309
-2.0,5,9.062325
-1.5,3,9.065839
1.0,3,9.065839
1.0,3,9.065839
1.0,3,9.065839
-2.0,5,9.065839
1.0,4,9.07793
1.0,3,9.079937
1.0,3,9.081687
1.0,3,9.085702
-1.5,5,9.089718
1.0,4,9.091725
-1.5,5,9.095739
1.0,3,9.097486
1.0,3,9.099492
-1.5,4,9.101498
1.0,3,9.103503
1.0,3,9.105509
1.0,3,9.107514
-1.5,4,9.112705
1.0,3,9.114713
-1.5,3,9.11707
-1.5,3,9.119119
1.0,3,9.121126
-1.5,4,9.121126
1.0,3,9.12514
-2.0,5,9.128539
1.0,3,9.130454
1.0,3,9.133934
1.0,3,9.133934
1.0,3,9.133934
1.0,3,9.138411
1.0,4,9.144249
1.0,4,9.147905
1.0,4,9.151519
